src_port,dest_port,proto,flow_pkts_toserver,flow_pkts_toclient,alert
0,0,ICMP,1,0,ICMP Ping Detected
0,0,ICMP,1,0,ICMP Ping Detected
52122,3389,TCP,1,0,Unexpected RDP Access Attempt to Raspberry Pi
52131,8080,TCP,1,0,Possible DDoS Attack
1023,514,TCP,2,0,Possible DDoS Attack
53015,5001,TCP,4,0,Possible DDoS Attack
52149,1049,TCP,5,0,Possible DDoS Attack
53803,9595,TCP,1,0,Possible DDoS Attack
53801,648,TCP,4,0,Possible DDoS Attack
53807,2557,TCP,5,0,Possible DDoS Attack
53873,515,TCP,1,0,Possible DDoS Attack
53863,24444,TCP,4,0,Possible DDoS Attack
53896,1700,TCP,5,0,Possible DDoS Attack
54137,80,TCP,1,0,Possible DDoS Attack
54168,80,TCP,4,0,Possible DDoS Attack
54149,80,TCP,5,0,Possible DDoS Attack
