proto,src_port,dst_port,bytes,alert,event_type,is_malicious
TCP,12345,80,500,http_attack,alert,1
UDP,54321,53,200,-,flow,0
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
62455,10022,TCP,1,0,SSH Brute Force Attack,1
62490,10022,TCP,1,0,SSH Brute Force Attack,1
62520,10022,TCP,1,0,SSH Brute Force Attack,1
62549,10022,TCP,1,0,SSH Brute Force Attack,1
0,0,ICMP,1,0,ICMP Ping Detected,1
